model,mode,snr_gt,freq_true,mse_vs_clean,mae_vs_clean,crps_vs_clean,spectral_mse,peak_freq_error,sfer,mse_vs_noisy,mae_vs_noisy
moment,zero_shot,0.22383696,8.122998,2.4769933,1.2763953,1.2763953,812237.75,8.122998237609863,0.4292861,19.563498,3.4377413
moment,zero_shot,0.23989367,6.8306527,1.7891445,1.1112996,1.1112996,554327.44,6.830652713775635,0.56871015,20.337372,3.6641784
moment,zero_shot,0.098318145,1.3555709,1.2623625,0.8942524,0.8942524,143436.89,1.355570912361145,0.20938718,27.348072,4.0257916
moment,zero_shot,0.13824923,7.1858406,1.2143183,0.89347255,0.89347255,113338.59,18.814159393310547,0.37381226,22.842262,3.8826005
moment,zero_shot,0.12204603,7.596511,2.4581277,1.2625408,1.2625408,398069.5,3.096510887145996,0.24708915,41.910378,4.86592
moment,zero_shot,0.09136513,1.1518427,1.0757024,0.8769161,0.8769161,52706.145,6.848157286643982,0.2153705,30.69146,4.5243263
moment,zero_shot,0.253579,8.454689,1.0555694,0.8386264,0.8386264,402168.22,5.454689025878906,0.60606533,11.643499,2.7624156
moment,zero_shot,0.12128972,2.4508338,1.6842592,1.0358186,1.0358186,236750.88,2.450833797454834,0.2551108,28.462608,4.2785687
moment,zero_shot,0.050612584,7.0645943,2.2562628,1.2211437,1.2211437,264154.8,7.064594268798828,0.061956793,51.325874,5.4982414
moment,zero_shot,0.08724453,4.221943,1.620216,1.0225976,1.0225976,141875.08,4.221942901611328,0.17568555,49.366493,5.660298
moment,zero_shot,0.1109124,9.786577,0.9359376,0.80994546,0.80994546,43633.43,9.786577224731445,0.24869716,17.87864,3.510858
moment,zero_shot,0.1445484,7.465481,3.1582897,1.4379685,1.4379685,2.1060272e+06,7.465480804443359,0.27775356,49.182526,5.626582
moment,zero_shot,0.15759379,7.9984713,1.0753361,0.8277543,0.8277543,245595.23,7.998471260070801,0.46260533,22.008314,3.6200724
moment,zero_shot,0.104085736,3.736722,1.0359355,0.818798,0.818798,30029.967,0.7632780075073242,0.22296767,20.456371,3.745829
moment,zero_shot,0.15694624,4.8289733,1.2607338,0.89385045,0.89385045,160914.97,2.8289732933044434,0.44672507,24.615747,3.9089344
moment,zero_shot,0.1043316,6.041635,1.8340499,1.0975232,1.0975232,642694.25,6.041635036468506,0.23872057,37.197517,4.987406
moment,zero_shot,0.0969622,4.952629,2.1775007,1.1972342,1.1972342,358085.2,4.952629089355469,0.19718228,53.457363,6.0201235
moment,zero_shot,0.084505714,9.427956,1.9117168,1.1036298,1.1036298,543352.75,9.427955627441406,0.12966116,30.683641,4.541869
moment,zero_shot,0.19687685,6.8471875,1.4341967,0.9629612,0.9629612,272405.3,6.847187519073486,0.45509377,21.262516,3.7077959
moment,zero_shot,0.2714182,7.8891783,1.5270469,1.0485901,1.0485901,515579.4,7.889178276062012,0.5667275,14.138395,3.0355964
moment,zero_shot,0.12424085,7.684982,1.7966328,1.053666,1.053666,142730.88,14.31501817703247,0.27100375,30.498652,4.2972755
moment,zero_shot,0.07640461,9.485912,1.6521685,1.0507426,1.0507426,87550.016,1.4859123229980469,0.12758067,43.623795,5.26459
moment,zero_shot,0.10552582,1.7887359,1.0868483,0.8709472,0.8709472,41430.96,6.211264133453369,0.27085754,25.355885,4.041812
moment,zero_shot,0.09883853,3.8443701,1.7564878,1.0498493,1.0498493,589337.2,3.844370126724243,0.19218366,34.032265,4.72903
moment,zero_shot,0.2198696,2.2728322,2.0314927,1.1908982,1.1908982,324864.16,2.272832155227661,0.47219193,22.275595,3.7394142
moment,zero_shot,0.15444446,2.811126,1.8249888,1.0791731,1.0791731,175084.06,5.188874006271362,0.34571967,33.296787,4.6129713
moment,zero_shot,0.22340412,4.084276,1.6881936,1.061333,1.061333,931498.8,3.9157238006591797,0.61329705,15.862128,3.0574424
moment,zero_shot,0.12940568,2.645982,1.2083735,0.8704947,0.8704947,86801.62,0.645982027053833,0.28762934,20.82893,3.7436905
moment,zero_shot,0.16918595,9.533247,1.8099638,1.0814137,1.0814137,859222.3,1.5332469940185547,0.52211267,29.730206,4.508448
moment,zero_shot,0.22006142,3.527658,1.6107402,1.041218,1.041218,703088.06,0.5276579856872559,0.5193,18.182314,3.427912
moment,zero_shot,0.20811982,5.4403033,2.0850515,1.2085973,1.2085973,1.03974944e+06,2.559696674346924,0.50729907,29.503853,4.2942963
moment,zero_shot,0.117981106,8.523619,0.93014866,0.7684208,0.7684208,95622.46,8.523618698120117,0.2963526,19.626698,3.571781
moment,zero_shot,0.18208514,2.1160262,1.9823308,1.1994352,1.1994352,860036.44,2.1160261631011963,0.54323906,34.942413,5.084095
moment,zero_shot,0.17813984,2.3035803,1.3122948,0.9399079,0.9399079,172032.45,0.30358028411865234,0.5050066,22.304714,3.8578916
moment,zero_shot,0.1905091,2.8158967,1.5685003,1.0328755,1.0328755,435368.16,2.81589674949646,0.49541774,16.022575,3.1846523
