model,mode,param,rmse,mae,r2,linear_probe_r2,rmse_snr_low,rmse_snr_mid,rmse_snr_high
chronos,zero_shot,amplitude,0.28248757123947144,0.24090564250946045,0.05435891352910038,0.05457943677902222,0.3947187662124634,0.24184906482696533,0.22555378079414368
chronos,zero_shot,frequency_hz,2.2413272857666016,1.8011798858642578,0.24417883535566898,0.1484559178352356,2.6194286346435547,2.1374478340148926,0.6521942019462585
chronos,zero_shot,phase_rad,1.7952876091003418,1.5530524253845215,-0.00047277064209505504,-0.0004382133483886719,1.8065521717071533,1.7924610376358032,1.7686039209365845
