model,task,mode,metric,value,ci_lower,ci_upper
timesfm,forecasting,zero_shot,mse_vs_clean,0.7671897411346436,0.5509360805153847,0.9767636507749557
timesfm,forecasting,zero_shot,mae_vs_clean,0.7133896350860596,0.6160111293196678,0.8140501946210861
timesfm,forecasting,zero_shot,crps_vs_clean,0.9332387447357178,0.8400498241186142,1.0209119588136673
timesfm,forecasting,zero_shot,spectral_mse,625173.2811389306,268939.41763832973,1078140.326572177
timesfm,forecasting,zero_shot,peak_freq_error,5.768672317266464,4.3022691905498505,7.050508997216821
timesfm,forecasting,zero_shot,sfer,0.7644021511077881,0.6673553541302681,0.8662169367074966
timesfm,forecasting,zero_shot,mse_vs_noisy,26.456132888793945,20.66550831794739,33.185389041900635
timesfm,forecasting,zero_shot,mae_vs_noisy,4.053050994873047,3.6039779782295227,4.530915534496307
baseline_repeat_last,forecasting,zero_shot,mse_vs_clean,38.017234802246094,15.16504032611847,66.66695232391356
baseline_repeat_last,forecasting,zero_shot,mae_vs_clean,4.767258644104004,2.8881706595420837,6.8765095949172945
baseline_repeat_last,forecasting,zero_shot,crps_vs_clean,4.767258644104004,2.8881706595420837,6.8765095949172945
baseline_repeat_last,forecasting,zero_shot,spectral_mse,16388728452.709034,3049928529.417374,37607693027.540085
baseline_repeat_last,forecasting,zero_shot,peak_freq_error,5.916880786418915,4.635655777156353,7.11536134071648
baseline_repeat_last,forecasting,zero_shot,sfer,0.16640254855155945,0.051465801242738966,0.3170511893928051
baseline_repeat_last,forecasting,zero_shot,mse_vs_noisy,64.50848388671875,38.27149715423584,96.91043357849121
baseline_repeat_last,forecasting,zero_shot,mae_vs_noisy,6.298881530761719,4.822981238365173,7.962694013118743
baseline_zero,forecasting,zero_shot,mse_vs_clean,0.5421292781829834,0.4097124919295311,0.6844756126403808
baseline_zero,forecasting,zero_shot,mae_vs_clean,0.6382433176040649,0.552382804453373,0.7249119400978088
baseline_zero,forecasting,zero_shot,crps_vs_clean,0.6382433176040649,0.552382804453373,0.7249119400978088
baseline_zero,forecasting,zero_shot,spectral_mse,241245.1989539634,143875.3811036684,356858.7036796409
baseline_zero,forecasting,zero_shot,peak_freq_error,5.916880786418915,4.635655777156353,7.11536134071648
baseline_zero,forecasting,zero_shot,sfer,1.0,1.0,1.0
baseline_zero,forecasting,zero_shot,mse_vs_noisy,26.20885467529297,20.554562664031984,32.86203012466431
baseline_zero,forecasting,zero_shot,mae_vs_noisy,4.038112640380859,3.5954503774642945,4.514736545085907
baseline_seasonal_naive,forecasting,zero_shot,mse_vs_clean,30.212322235107422,21.054711771011352,41.40455226898193
baseline_seasonal_naive,forecasting,zero_shot,mae_vs_clean,4.256545543670654,3.5242240369319915,4.897724056243896
baseline_seasonal_naive,forecasting,zero_shot,crps_vs_clean,4.256545543670654,3.5242240369319915,4.897724056243896
baseline_seasonal_naive,forecasting,zero_shot,spectral_mse,1030332700.820204,380557112.62144715,2031543653.1850567
baseline_seasonal_naive,forecasting,zero_shot,peak_freq_error,11.172653168439865,7.032667078822851,15.501376173645255
baseline_seasonal_naive,forecasting,zero_shot,sfer,0.03266071155667305,0.018049382092431187,0.05409154966473579
baseline_seasonal_naive,forecasting,zero_shot,mse_vs_noisy,56.50937271118164,43.0479175567627,72.71374320983885
baseline_seasonal_naive,forecasting,zero_shot,mae_vs_noisy,5.929559230804443,5.196317791938782,6.71308856010437
timemoe,forecasting,zero_shot,mse_vs_clean,0.6026846170425415,0.46225587353110315,0.7476874053478241
timemoe,forecasting,zero_shot,mae_vs_clean,0.6632480025291443,0.5814175695180893,0.7447897285223007
timemoe,forecasting,zero_shot,crps_vs_clean,0.6632480025291443,0.5814175695180893,0.7447897285223007
timemoe,forecasting,zero_shot,spectral_mse,289820.1509197607,178240.26681771642,406331.9962518967
timemoe,forecasting,zero_shot,peak_freq_error,5.916880786418915,4.635655777156353,7.11536134071648
timemoe,forecasting,zero_shot,sfer,0.9001239538192749,0.8194718837738038,0.9553908064961433
timemoe,forecasting,zero_shot,mse_vs_noisy,26.31270980834961,20.57437930107117,32.987750911712645
timemoe,forecasting,zero_shot,mae_vs_noisy,4.0456085205078125,3.600252491235733,4.520172584056854
baseline_repeat_last,forecasting,zero_shot,mse_vs_clean,38.017234802246094,15.16504032611847,66.66695232391356
baseline_repeat_last,forecasting,zero_shot,mae_vs_clean,4.767258644104004,2.8881706595420837,6.8765095949172945
baseline_repeat_last,forecasting,zero_shot,crps_vs_clean,4.767258644104004,2.8881706595420837,6.8765095949172945
baseline_repeat_last,forecasting,zero_shot,spectral_mse,16388728452.709034,3049928529.417374,37607693027.540085
baseline_repeat_last,forecasting,zero_shot,peak_freq_error,5.916880786418915,4.635655777156353,7.11536134071648
baseline_repeat_last,forecasting,zero_shot,sfer,0.16640254855155945,0.051465801242738966,0.3170511893928051
baseline_repeat_last,forecasting,zero_shot,mse_vs_noisy,64.50848388671875,38.27149715423584,96.91043357849121
baseline_repeat_last,forecasting,zero_shot,mae_vs_noisy,6.298881530761719,4.822981238365173,7.962694013118743
baseline_zero,forecasting,zero_shot,mse_vs_clean,0.5421292781829834,0.4097124919295311,0.6844756126403808
baseline_zero,forecasting,zero_shot,mae_vs_clean,0.6382433176040649,0.552382804453373,0.7249119400978088
baseline_zero,forecasting,zero_shot,crps_vs_clean,0.6382433176040649,0.552382804453373,0.7249119400978088
baseline_zero,forecasting,zero_shot,spectral_mse,241245.1989539634,143875.3811036684,356858.7036796409
baseline_zero,forecasting,zero_shot,peak_freq_error,5.916880786418915,4.635655777156353,7.11536134071648
baseline_zero,forecasting,zero_shot,sfer,1.0,1.0,1.0
baseline_zero,forecasting,zero_shot,mse_vs_noisy,26.20885467529297,20.554562664031984,32.86203012466431
baseline_zero,forecasting,zero_shot,mae_vs_noisy,4.038112640380859,3.5954503774642945,4.514736545085907
baseline_seasonal_naive,forecasting,zero_shot,mse_vs_clean,30.212322235107422,21.054711771011352,41.40455226898193
baseline_seasonal_naive,forecasting,zero_shot,mae_vs_clean,4.256545543670654,3.5242240369319915,4.897724056243896
baseline_seasonal_naive,forecasting,zero_shot,crps_vs_clean,4.256545543670654,3.5242240369319915,4.897724056243896
baseline_seasonal_naive,forecasting,zero_shot,spectral_mse,1030332700.820204,380557112.62144715,2031543653.1850567
baseline_seasonal_naive,forecasting,zero_shot,peak_freq_error,11.172653168439865,7.032667078822851,15.501376173645255
baseline_seasonal_naive,forecasting,zero_shot,sfer,0.03266071155667305,0.018049382092431187,0.05409154966473579
baseline_seasonal_naive,forecasting,zero_shot,mse_vs_noisy,56.50937271118164,43.0479175567627,72.71374320983885
baseline_seasonal_naive,forecasting,zero_shot,mae_vs_noisy,5.929559230804443,5.196317791938782,6.71308856010437
moirai,forecasting,zero_shot,mse_vs_clean,3.868483066558838,3.0130454778671263,4.733740568161011
moirai,forecasting,zero_shot,mae_vs_clean,1.5523114204406738,1.3625041902065278,1.7383231937885284
moirai,forecasting,zero_shot,crps_vs_clean,1.5220224857330322,1.341899213194847,1.6854522317647933
moirai,forecasting,zero_shot,spectral_mse,8178783.135067759,2284713.912470619,15434336.89355399
moirai,forecasting,zero_shot,peak_freq_error,6.855601042509079,4.779521149769425,8.814047426730394
moirai,forecasting,zero_shot,sfer,0.15263015031814575,0.12356250397861004,0.19114932641386984
moirai,forecasting,zero_shot,mse_vs_noisy,29.48906707763672,23.043465423583985,36.79506921768188
moirai,forecasting,zero_shot,mae_vs_noisy,4.272377014160156,3.8067413210868835,4.777193093299866
baseline_repeat_last,forecasting,zero_shot,mse_vs_clean,38.017234802246094,15.16504032611847,66.66695232391356
baseline_repeat_last,forecasting,zero_shot,mae_vs_clean,4.767258644104004,2.8881706595420837,6.8765095949172945
baseline_repeat_last,forecasting,zero_shot,crps_vs_clean,4.767258644104004,2.8881706595420837,6.8765095949172945
baseline_repeat_last,forecasting,zero_shot,spectral_mse,16388728452.709034,3049928529.417374,37607693027.540085
baseline_repeat_last,forecasting,zero_shot,peak_freq_error,5.916880786418915,4.635655777156353,7.11536134071648
baseline_repeat_last,forecasting,zero_shot,sfer,0.16640254855155945,0.051465801242738966,0.3170511893928051
baseline_repeat_last,forecasting,zero_shot,mse_vs_noisy,64.50848388671875,38.27149715423584,96.91043357849121
baseline_repeat_last,forecasting,zero_shot,mae_vs_noisy,6.298881530761719,4.822981238365173,7.962694013118743
