model,mode,snr_gt,freq_true,mse_vs_clean,mae_vs_clean,crps_vs_clean,spectral_mse,peak_freq_error,sfer,mse_vs_noisy,mae_vs_noisy
moirai,zero_shot,0.12204603,7.596511,7.955158,2.2853198,2.0729744,39158740.06173253,7.596510887145996,0.07635005,47.244255,5.3360095
moirai,zero_shot,0.09136513,1.1518427,3.1730342,1.4692008,1.4100122,2540235.731561963,1.151842713356018,0.07301358,30.626055,4.444283
moirai,zero_shot,0.253579,8.454689,1.803674,1.1109405,1.0199089,761361.3159526509,8.454689025878906,0.3546894,13.231989,2.9532528
moirai,zero_shot,0.12128972,2.4508338,3.2000368,1.4270047,1.6560645,1545118.769785921,2.450833797454834,0.13427117,30.35743,4.345835
moirai,zero_shot,0.050612584,7.0645943,6.1088,1.972153,2.0745225,1268941.5035573144,2.435405731201172,0.022883514,54.30093,5.8082337
moirai,zero_shot,0.08724453,4.221943,3.814145,1.6083325,1.8675771,458041.0731545406,16.778057098388672,0.07462971,47.883884,5.550578
moirai,zero_shot,0.1109124,9.786577,2.0598233,1.1665365,1.1439393,855004.9865734187,9.786577224731445,0.11300242,20.704338,3.7351928
moirai,zero_shot,0.1445484,7.465481,5.3449497,1.8041387,1.9031401,1598435.672690678,7.465480804443359,0.16412245,54.10491,5.9779444
moirai,zero_shot,0.15759379,7.9984713,3.1049266,1.4039117,1.4290704,1149661.600680482,7.998471260070801,0.16021512,21.80025,3.44826
moirai,zero_shot,0.104085736,3.736722,2.062327,1.1982813,1.2924949,856401.025102037,3.736721992492676,0.111999765,21.304447,3.8081346
moirai,zero_shot,0.15694624,4.8289733,3.5459938,1.5587317,16.397148,8234368.908217344,4.828973293304443,0.15882753,26.96232,4.1392546
moirai,zero_shot,0.1043316,6.041635,6.1375904,1.8811805,1.8838125,7573725.941001032,6.041635036468506,0.07133507,40.09362,5.175916
moirai,zero_shot,0.0969622,4.952629,3.7319472,1.5811357,1.7882324,506758.9265399958,12.047370910644531,0.11505108,52.510925,5.852069
moirai,zero_shot,0.084505714,9.427956,4.5840445,1.7170699,1.7548311,721233.3885393668,0.42795562744140625,0.05407352,31.143887,4.564023
moirai,zero_shot,0.19687685,6.8471875,3.209211,1.4516776,1.5674853,963215.8648529123,6.847187519073486,0.20338145,22.58778,3.8024006
moirai,zero_shot,0.2714182,7.8891783,1.9427761,1.1496232,1.029639,578672.4832662459,1.1108217239379883,0.4454551,14.523107,3.0966291
moirai,zero_shot,0.12424085,7.684982,3.7780719,1.5856888,2.04676,354026.99386909354,5.184981822967529,0.12887374,34.410576,4.5206265
moirai,zero_shot,0.07640461,9.485912,4.5889854,1.8418794,1.7590874,13182143.665155306,9.485912322998047,0.04593276,47.285088,5.494791
moirai,zero_shot,0.10552582,1.7887359,2.5994596,1.3076762,1.3472978,1471280.613717012,1.7887358665466309,0.113247015,25.28154,3.9437985
moirai,zero_shot,0.09883853,3.8443701,4.7135797,1.7059727,1.6738834,11326607.152050482,3.844370126724243,0.07161611,37.088055,4.968855
moirai,zero_shot,0.2198696,2.2728322,2.7498405,1.3359522,1.2880452,944835.3418757316,2.272832155227661,0.34884003,25.581434,3.9724774
moirai,zero_shot,0.15444446,2.811126,2.8780146,1.3514858,1.3731532,5006491.060488,2.8111259937286377,0.21922563,33.825077,4.6575527
moirai,zero_shot,0.22340412,4.084276,3.7240708,1.5795474,1.4430444,894091.1397740211,6.41572380065918,0.27801946,16.638933,3.2806187
moirai,zero_shot,0.12940568,2.645982,2.4809895,1.2534373,1.3098472,213901.9858223352,6.354017972946167,0.14009075,23.319508,3.8410797
moirai,zero_shot,0.16918595,9.533247,5.1642494,1.8706548,1.7770205,2361016.967227021,9.533246994018555,0.1829898,26.80365,4.314328
moirai,zero_shot,0.22006142,3.527658,2.029211,1.1211041,1.2053685,782997.0856778309,3.527657985687256,0.41220817,17.128109,3.3626785
moirai,zero_shot,0.20811982,5.4403033,3.2596076,1.5099566,1.543496,1000130.7165105069,4.059696674346924,0.32450065,31.498428,4.4787865
moirai,zero_shot,0.117981106,8.523619,2.0583978,1.1547768,1.1364622,1358208.4156998184,8.523618698120117,0.13391578,19.943378,3.6172097
moirai,zero_shot,0.18208514,2.1160262,4.2032504,1.5846441,1.5719076,1920317.9060005916,2.1160261631011963,0.2562016,37.26716,5.1382866
moirai,zero_shot,0.17813984,2.3035803,2.9646664,1.4204559,1.413275,290821.0087717787,2.3035802841186523,0.22353867,25.539982,3.9978209
moirai,zero_shot,0.1905091,2.8158967,3.199897,1.4710495,1.3540201,2351303.5849684514,2.81589674949646,0.24283996,18.297306,3.4714203
moirai,zero_shot,0.093623415,1.5273591,5.3842473,1.9162103,1.7227918,38028437.12715727,1.527359127998352,0.044279885,28.795845,4.0914593
moirai,zero_shot,0.21627924,6.6855383,0.80904806,0.7189402,0.72247016,44470.633577360146,6.685538291931152,0.3192495,7.983311,2.2052598
moirai,zero_shot,0.1625479,8.970843,5.6010084,1.9971406,1.864419,3514062.4268534905,8.970843315124512,0.19936791,39.192383,5.102296
moirai,zero_shot,0.14530915,7.011164,4.13347,1.6330853,1.8917876,1016698.2108443339,12.98883581161499,0.19949843,40.340614,5.1875105
