model,task,mode,metric,value,ci_lower,ci_upper
timemoe,forecasting,zero_shot,mse_vs_clean,0.5945157408714294,0.5890220627188683,0.600050288438797
timemoe,forecasting,zero_shot,mae_vs_clean,0.655331015586853,0.6518241509795188,0.6585123777389527
timemoe,forecasting,zero_shot,crps_vs_clean,0.655331015586853,0.6518241509795188,0.6585123777389527
timemoe,forecasting,zero_shot,spectral_mse,301794.71219863335,295823.9190782403,307701.89599761914
timemoe,forecasting,zero_shot,peak_freq_error,5.463020696318149,5.409647860964835,5.515341435541212
timemoe,forecasting,zero_shot,sfer,0.9052217602729797,0.9028924062848092,0.9077448725700379
timemoe,forecasting,zero_shot,mse_vs_noisy,26.610774993896484,26.421488094329835,26.82582869529724
timemoe,forecasting,zero_shot,mae_vs_noisy,4.041268825531006,4.027130734920502,4.058395409584046
baseline_repeat_last,forecasting,zero_shot,mse_vs_clean,27.26936912536621,26.54040880203247,28.063224220275877
baseline_repeat_last,forecasting,zero_shot,mae_vs_clean,4.108466148376465,4.051094019412995,4.1699238300323485
baseline_repeat_last,forecasting,zero_shot,crps_vs_clean,4.108466148376465,4.051094019412995,4.1699238300323485
baseline_repeat_last,forecasting,zero_shot,spectral_mse,9762843300.376484,9090873981.349838,10518030481.187777
baseline_repeat_last,forecasting,zero_shot,peak_freq_error,5.463020696318149,5.409647860964835,5.515341435541212
baseline_repeat_last,forecasting,zero_shot,sfer,0.15977008640766144,0.15485447347164155,0.16452242955565452
baseline_repeat_last,forecasting,zero_shot,mse_vs_noisy,53.215614318847656,52.40615234375,54.14779987335205
baseline_repeat_last,forecasting,zero_shot,mae_vs_noisy,5.722731113433838,5.680270171165466,5.768913316726684
baseline_zero,forecasting,zero_shot,mse_vs_clean,0.5414474606513977,0.535913673043251,0.5466698259115219
baseline_zero,forecasting,zero_shot,mae_vs_clean,0.6361477971076965,0.6324672862887383,0.6393874868750572
baseline_zero,forecasting,zero_shot,crps_vs_clean,0.6361477971076965,0.6324672862887383,0.6393874868750572
baseline_zero,forecasting,zero_shot,spectral_mse,262167.6741244966,256867.6896900094,267005.4067294039
baseline_zero,forecasting,zero_shot,peak_freq_error,5.463020696318149,5.409647860964835,5.515341435541212
baseline_zero,forecasting,zero_shot,sfer,1.0,1.0,1.0
